Community Name,Crime Category,Number of Records,Year,Incidents
DIAMOND COVE,Assault (Non-domestic),1,2012,0
DISCOVERY RIDGE,Assault (Non-domestic),1,2012,1
DOUGLASDALE/GLEN,Assault (Non-domestic),1,2012,13
DOVER,Assault (Non-domestic),1,2012,28
DOWNTOWN COMMERCIAL CORE,Assault (Non-domestic),1,2012,157
DOWNTOWN EAST VILLAGE,Assault (Non-domestic),1,2012,37
DOWNTOWN WEST END,Assault (Non-domestic),1,2012,10
EAGLE RIDGE,Assault (Non-domestic),1,2012,0
EAST FAIRVIEW INDUSTRIAL,Assault (Non-domestic),1,2012,3
EAST SHEPARD INDUSTRIAL,Assault (Non-domestic),1,2012,2
EASTFIELD,Assault (Non-domestic),1,2012,1
EAU CLAIRE,Assault (Non-domestic),1,2012,2
EDGEMONT,Assault (Non-domestic),1,2012,5
ELBOW PARK,Assault (Non-domestic),1,2012,2
ELBOYA,Assault (Non-domestic),1,2012,0
ERIN WOODS,Assault (Non-domestic),1,2012,10
ERLTON,Assault (Non-domestic),1,2012,4
EVANSTON,Assault (Non-domestic),1,2012,6
EVERGREEN,Assault (Non-domestic),1,2012,7
FAIRVIEW,Assault (Non-domestic),1,2012,8
FAIRVIEW INDUSTRIAL,Assault (Non-domestic),1,2012,1
FALCONRIDGE,Assault (Non-domestic),1,2012,35
FISH CREEK PARK,Assault (Non-domestic),1,2012,0
FOOTHILLS,Assault (Non-domestic),1,2012,10
FOREST HEIGHTS,Assault (Non-domestic),1,2012,35
FOREST LAWN,Assault (Non-domestic),1,2012,93
FOREST LAWN INDUSTRIAL,Assault (Non-domestic),1,2012,24
FRANKLIN,Assault (Non-domestic),1,2012,13
GLAMORGAN,Assault (Non-domestic),1,2012,12
GLENBROOK,Assault (Non-domestic),1,2012,14
GLENDALE,Assault (Non-domestic),1,2012,2
GLENDEER BUSINESS PARK,Assault (Non-domestic),1,2012,0
GLENMORE PARK,Assault (Non-domestic),1,2012,1
GOLDEN TRIANGLE,Assault (Non-domestic),1,2012,1
GREAT PLAINS,Assault (Non-domestic),1,2012,1
GREENVIEW,Assault (Non-domestic),1,2012,2
GREENVIEW INDUSTRIAL PARK,Assault (Non-domestic),1,2012,1
GREENWOOD/GREENBRIAR,Assault (Non-domestic),1,2012,1
HAMPTONS,Assault (Non-domestic),1,2012,0
HARVEST HILLS,Assault (Non-domestic),1,2012,3
HAWKWOOD,Assault (Non-domestic),1,2012,4
HAYSBORO,Assault (Non-domestic),1,2012,19
HIDDEN VALLEY,Assault (Non-domestic),1,2012,3
HIGHFIELD,Assault (Non-domestic),1,2012,5
HIGHLAND PARK,Assault (Non-domestic),1,2012,12
HIGHWOOD,Assault (Non-domestic),1,2012,4
HILLHURST,Assault (Non-domestic),1,2012,14
HORIZON,Assault (Non-domestic),1,2012,11
HOUNSFIELD HEIGHTS/BRIAR HILL,Assault (Non-domestic),1,2012,7
HUNTINGTON HILLS,Assault (Non-domestic),1,2012,26
INGLEWOOD,Assault (Non-domestic),1,2012,8
KELVIN GROVE,Assault (Non-domestic),1,2012,7
KILLARNEY/GLENGARRY,Assault (Non-domestic),1,2012,8
KINCORA,Assault (Non-domestic),1,2012,1
KINGSLAND,Assault (Non-domestic),1,2012,9
LAKE BONAVISTA,Assault (Non-domestic),1,2012,6
LAKEVIEW,Assault (Non-domestic),1,2012,2
LEGACY,Assault (Non-domestic),1,2012,0
LINCOLN PARK,Assault (Non-domestic),1,2012,4
LOWER MOUNT ROYAL,Assault (Non-domestic),1,2012,10
MACEWAN GLEN,Assault (Non-domestic),1,2012,1
MAHOGANY,Assault (Non-domestic),1,2012,1
MANCHESTER,Assault (Non-domestic),1,2012,13
MANCHESTER INDUSTRIAL,Assault (Non-domestic),1,2012,31
MAPLE RIDGE,Assault (Non-domestic),1,2012,1
MARLBOROUGH,Assault (Non-domestic),1,2012,59
MARLBOROUGH PARK,Assault (Non-domestic),1,2012,16
MARTINDALE,Assault (Non-domestic),1,2012,19
MAYFAIR,Assault (Non-domestic),1,2012,2
MAYLAND,Assault (Non-domestic),1,2012,3
MAYLAND HEIGHTS,Assault (Non-domestic),1,2012,12
MCCALL,Assault (Non-domestic),1,2012,2
MCKENZIE LAKE,Assault (Non-domestic),1,2012,8
MCKENZIE TOWNE,Assault (Non-domestic),1,2012,22
MEADOWLARK PARK,Assault (Non-domestic),1,2012,15
MERIDIAN,Assault (Non-domestic),1,2012,10
MIDNAPORE,Assault (Non-domestic),1,2012,13
MILLRISE,Assault (Non-domestic),1,2012,7
MISSION,Assault (Non-domestic),1,2012,9
MONTEREY PARK,Assault (Non-domestic),1,2012,4
MONTGOMERY,Assault (Non-domestic),1,2012,10
MOUNT PLEASANT,Assault (Non-domestic),1,2012,11
NEW BRIGHTON,Assault (Non-domestic),1,2012,1
NOLAN HILL,Assault (Non-domestic),1,2012,1
NORTH AIRWAYS,Assault (Non-domestic),1,2012,2
NORTH GLENMORE PARK,Assault (Non-domestic),1,2012,3
NORTH HAVEN,Assault (Non-domestic),1,2012,2
NOSE HILL PARK,Assault (Non-domestic),1,2012,2
OAKRIDGE,Assault (Non-domestic),1,2012,7
OGDEN,Assault (Non-domestic),1,2012,26
OGDEN SHOPS,Assault (Non-domestic),1,2012,1
PALLISER,Assault (Non-domestic),1,2012,1
PANORAMA HILLS,Assault (Non-domestic),1,2012,5
PARKDALE,Assault (Non-domestic),1,2012,8
PARKHILL,Assault (Non-domestic),1,2012,0
PARKLAND,Assault (Non-domestic),1,2012,2
PATTERSON,Assault (Non-domestic),1,2012,0
PEGASUS,Assault (Non-domestic),1,2012,0
PENBROOKE MEADOWS,Assault (Non-domestic),1,2012,33
PINERIDGE,Assault (Non-domestic),1,2012,32
POINT MCKAY,Assault (Non-domestic),1,2012,1
PUMP HILL,Assault (Non-domestic),1,2012,3
QUEENS PARK VILLAGE,Assault (Non-domestic),1,2012,0
QUEENSLAND,Assault (Non-domestic),1,2012,6
RAMSAY,Assault (Non-domestic),1,2012,4
RANCHLANDS,Assault (Non-domestic),1,2012,0
RED CARPET,Assault (Non-domestic),1,2012,5
REDSTONE,Assault (Non-domestic),1,2012,0
RENFREW,Assault (Non-domestic),1,2012,10
RICHMOND,Assault (Non-domestic),1,2012,6
RIDEAU PARK,Assault (Non-domestic),1,2012,0
RIVERBEND,Assault (Non-domestic),1,2012,8
ROCKY RIDGE,Assault (Non-domestic),1,2012,0
ROSEDALE,Assault (Non-domestic),1,2012,0
ROSEMONT,Assault (Non-domestic),1,2012,2
ROSSCARROCK,Assault (Non-domestic),1,2012,15
ROXBORO,Assault (Non-domestic),1,2012,0
ROYAL OAK,Assault (Non-domestic),1,2012,2
ROYAL VISTA,Assault (Non-domestic),1,2012,0
RUNDLE,Assault (Non-domestic),1,2012,26
RUTLAND PARK,Assault (Non-domestic),1,2012,3
SADDLE RIDGE,Assault (Non-domestic),1,2012,8
SADDLE RIDGE INDUSTRIAL,Assault (Non-domestic),1,2012,5
SAGE HILL,Assault (Non-domestic),1,2012,1
SANDSTONE VALLEY,Assault (Non-domestic),1,2012,2
SCARBORO,Assault (Non-domestic),1,2012,0
SCARBORO/ SUNALTA WEST,Assault (Non-domestic),1,2012,0
SCENIC ACRES,Assault (Non-domestic),1,2012,1
SECTION 23,Assault (Non-domestic),1,2012,0
SETON,Assault (Non-domestic),1,2012,0
SHAGANAPPI,Assault (Non-domestic),1,2012,2
SHAWNEE SLOPES,Assault (Non-domestic),1,2012,0
SHAWNESSY,Assault (Non-domestic),1,2012,31
SHEPARD INDUSTRIAL,Assault (Non-domestic),1,2012,7
SHERWOOD,Assault (Non-domestic),1,2012,0
SIGNAL HILL,Assault (Non-domestic),1,2012,10
SILVER SPRINGS,Assault (Non-domestic),1,2012,1
SILVERADO,Assault (Non-domestic),1,2012,0
SKYLINE EAST,Assault (Non-domestic),1,2012,3
SKYLINE WEST,Assault (Non-domestic),1,2012,0
SKYVIEW RANCH,Assault (Non-domestic),1,2012,1
SOMERSET,Assault (Non-domestic),1,2012,12
SOUTH AIRWAYS,Assault (Non-domestic),1,2012,1
SOUTH CALGARY,Assault (Non-domestic),1,2012,6
SOUTH FOOTHILLS,Assault (Non-domestic),1,2012,1
SOUTHVIEW,Assault (Non-domestic),1,2012,20
SOUTHWOOD,Assault (Non-domestic),1,2012,18
SPRINGBANK HILL,Assault (Non-domestic),1,2012,9
SPRUCE CLIFF,Assault (Non-domestic),1,2012,1
ST. ANDREWS HEIGHTS,Assault (Non-domestic),1,2012,12
STARFIELD,Assault (Non-domestic),1,2012,0
STONEGATE LANDING,Assault (Non-domestic),1,2012,0
STONEY 1,Assault (Non-domestic),1,2012,0
STONEY 2,Assault (Non-domestic),1,2012,2
STONEY 3,Assault (Non-domestic),1,2012,0
STRATHCONA PARK,Assault (Non-domestic),1,2012,2
SUNALTA,Assault (Non-domestic),1,2012,21
SUNDANCE,Assault (Non-domestic),1,2012,6
SUNNYSIDE,Assault (Non-domestic),1,2012,4
SUNRIDGE,Assault (Non-domestic),1,2012,38
TARADALE,Assault (Non-domestic),1,2012,14
TEMPLE,Assault (Non-domestic),1,2012,26
THORNCLIFFE,Assault (Non-domestic),1,2012,16
TUSCANY,Assault (Non-domestic),1,2012,1
TUXEDO PARK,Assault (Non-domestic),1,2012,13
UNIVERSITY HEIGHTS,Assault (Non-domestic),1,2012,1
UNIVERSITY OF CALGARY,Assault (Non-domestic),1,2012,9
UPPER MOUNT ROYAL,Assault (Non-domestic),1,2012,0
VALLEY RIDGE,Assault (Non-domestic),1,2012,0
VALLEYFIELD,Assault (Non-domestic),1,2012,3
VARSITY,Assault (Non-domestic),1,2012,8
VISTA HEIGHTS,Assault (Non-domestic),1,2012,5
WALDEN,Assault (Non-domestic),1,2012,1
WEST HILLHURST,Assault (Non-domestic),1,2012,6
WEST SPRINGS,Assault (Non-domestic),1,2012,1
WESTGATE,Assault (Non-domestic),1,2012,0
WESTWINDS,Assault (Non-domestic),1,2012,16
WHITEHORN,Assault (Non-domestic),1,2012,30
WILDWOOD,Assault (Non-domestic),1,2012,3
WILLOW PARK,Assault (Non-domestic),1,2012,11
WINDSOR PARK,Assault (Non-domestic),1,2012,5
WINSTON HEIGHTS/MOUNTVIEW,Assault (Non-domestic),1,2012,11
WOODBINE,Assault (Non-domestic),1,2012,9
WOODLANDS,Assault (Non-domestic),1,2012,13
ABBEYDALE,Commercial Robbery,1,2012,0
ACADIA,Commercial Robbery,1,2012,2
ALBERT PARK/RADISSON HEIGHTS,Commercial Robbery,1,2012,2
ALTADORE,Commercial Robbery,1,2012,0
APPLEWOOD PARK,Commercial Robbery,1,2012,0
ARBOUR LAKE,Commercial Robbery,1,2012,1
BANFF TRAIL,Commercial Robbery,1,2012,0
BANKVIEW,Commercial Robbery,1,2012,0
BEDDINGTON HEIGHTS,Commercial Robbery,1,2012,4
BELTLINE,Commercial Robbery,1,2012,7
BOWNESS,Commercial Robbery,1,2012,2
BRAESIDE,Commercial Robbery,1,2012,1
BRENTWOOD,Commercial Robbery,1,2012,2
BRIDGELAND/RIVERSIDE,Commercial Robbery,1,2012,5
BRIDLEWOOD,Commercial Robbery,1,2012,3
CALGARY INTERNATIONAL AIRPORT,Commercial Robbery,1,2012,0
CAMBRIAN HEIGHTS,Commercial Robbery,1,2012,0
CANYON MEADOWS,Commercial Robbery,1,2012,1
CAPITOL HILL,Commercial Robbery,1,2012,3
CASTLERIDGE,Commercial Robbery,1,2012,2
CEDARBRAE,Commercial Robbery,1,2012,0
CHARLESWOOD,Commercial Robbery,1,2012,0
CHINATOWN,Commercial Robbery,1,2012,0
CITADEL,Commercial Robbery,1,2012,0
CLIFF BUNGALOW,Commercial Robbery,1,2012,0
COACH HILL,Commercial Robbery,1,2012,0
COLLINGWOOD,Commercial Robbery,1,2012,1
COPPERFIELD,Commercial Robbery,1,2012,1
CORAL SPRINGS,Commercial Robbery,1,2012,0
COUNTRY HILLS,Commercial Robbery,1,2012,0
COUNTRY HILLS VILLAGE,Commercial Robbery,1,2012,1
COVENTRY HILLS,Commercial Robbery,1,2012,0
CRANSTON,Commercial Robbery,1,2012,0
CRESCENT HEIGHTS,Commercial Robbery,1,2012,2
DALHOUSIE,Commercial Robbery,1,2012,1
DEER RIDGE,Commercial Robbery,1,2012,0
DEER RUN,Commercial Robbery,1,2012,0
DEERFOOT BUSINESS CENTRE,Commercial Robbery,1,2012,0
DOUGLASDALE/GLEN,Commercial Robbery,1,2012,1
DOVER,Commercial Robbery,1,2012,7
DOWNTOWN COMMERCIAL CORE,Commercial Robbery,1,2012,3
DOWNTOWN EAST VILLAGE,Commercial Robbery,1,2012,0
DOWNTOWN WEST END,Commercial Robbery,1,2012,1
EAST FAIRVIEW INDUSTRIAL,Commercial Robbery,1,2012,0
EAST SHEPARD INDUSTRIAL,Commercial Robbery,1,2012,2
EAU CLAIRE,Commercial Robbery,1,2012,0
EDGEMONT,Commercial Robbery,1,2012,2
ELBOYA,Commercial Robbery,1,2012,0
ERIN WOODS,Commercial Robbery,1,2012,1
FAIRVIEW,Commercial Robbery,1,2012,0
FAIRVIEW INDUSTRIAL,Commercial Robbery,1,2012,0
FALCONRIDGE,Commercial Robbery,1,2012,1
FISH CREEK PARK,Commercial Robbery,1,2012,0
FOOTHILLS,Commercial Robbery,1,2012,0
FOREST HEIGHTS,Commercial Robbery,1,2012,0
FOREST LAWN,Commercial Robbery,1,2012,4
FOREST LAWN INDUSTRIAL,Commercial Robbery,1,2012,2
FRANKLIN,Commercial Robbery,1,2012,2
GLAMORGAN,Commercial Robbery,1,2012,1
GLENBROOK,Commercial Robbery,1,2012,1
GLENDALE,Commercial Robbery,1,2012,0
GREENVIEW,Commercial Robbery,1,2012,1
GREENVIEW INDUSTRIAL PARK,Commercial Robbery,1,2012,2
HAMPTONS,Commercial Robbery,1,2012,0
HARVEST HILLS,Commercial Robbery,1,2012,1
HAWKWOOD,Commercial Robbery,1,2012,0
HAYSBORO,Commercial Robbery,1,2012,1
HIDDEN VALLEY,Commercial Robbery,1,2012,5
HIGHFIELD,Commercial Robbery,1,2012,0
HIGHLAND PARK,Commercial Robbery,1,2012,1
HIGHWOOD,Commercial Robbery,1,2012,1
HILLHURST,Commercial Robbery,1,2012,3
HORIZON,Commercial Robbery,1,2012,1
HOUNSFIELD HEIGHTS/BRIAR HILL,Commercial Robbery,1,2012,0
HUNTINGTON HILLS,Commercial Robbery,1,2012,5
INGLEWOOD,Commercial Robbery,1,2012,2
KELVIN GROVE,Commercial Robbery,1,2012,0
KILLARNEY/GLENGARRY,Commercial Robbery,1,2012,2
KINGSLAND,Commercial Robbery,1,2012,2
LAKE BONAVISTA,Commercial Robbery,1,2012,0
LAKEVIEW,Commercial Robbery,1,2012,0
LINCOLN PARK,Commercial Robbery,1,2012,0
LOWER MOUNT ROYAL,Commercial Robbery,1,2012,2
MACEWAN GLEN,Commercial Robbery,1,2012,0
MANCHESTER,Commercial Robbery,1,2012,1
MANCHESTER INDUSTRIAL,Commercial Robbery,1,2012,2
MARLBOROUGH,Commercial Robbery,1,2012,5
MARLBOROUGH PARK,Commercial Robbery,1,2012,9
MARTINDALE,Commercial Robbery,1,2012,2
MAYLAND HEIGHTS,Commercial Robbery,1,2012,0
MCCALL,Commercial Robbery,1,2012,0
MCKENZIE LAKE,Commercial Robbery,1,2012,0
MCKENZIE TOWNE,Commercial Robbery,1,2012,0
MEADOWLARK PARK,Commercial Robbery,1,2012,0
MERIDIAN,Commercial Robbery,1,2012,0
MIDNAPORE,Commercial Robbery,1,2012,1
MILLRISE,Commercial Robbery,1,2012,0
MISSION,Commercial Robbery,1,2012,0
MONTEREY PARK,Commercial Robbery,1,2012,0
MONTGOMERY,Commercial Robbery,1,2012,2
MOUNT PLEASANT,Commercial Robbery,1,2012,0
NORTH GLENMORE PARK,Commercial Robbery,1,2012,3
NORTH HAVEN,Commercial Robbery,1,2012,0
OAKRIDGE,Commercial Robbery,1,2012,0
OGDEN,Commercial Robbery,1,2012,2
OGDEN SHOPS,Commercial Robbery,1,2012,3
PANORAMA HILLS,Commercial Robbery,1,2012,0
PARKHILL,Commercial Robbery,1,2012,0
PATTERSON,Commercial Robbery,1,2012,0
PEGASUS,Commercial Robbery,1,2012,0
PENBROOKE MEADOWS,Commercial Robbery,1,2012,0
PINERIDGE,Commercial Robbery,1,2012,4
PUMP HILL,Commercial Robbery,1,2012,0
RAMSAY,Commercial Robbery,1,2012,0
RANCHLANDS,Commercial Robbery,1,2012,1
RED CARPET,Commercial Robbery,1,2012,0
RENFREW,Commercial Robbery,1,2012,5
RICHMOND,Commercial Robbery,1,2012,0
RIVERBEND,Commercial Robbery,1,2012,2
ROSEMONT,Commercial Robbery,1,2012,0
ROSSCARROCK,Commercial Robbery,1,2012,0
ROYAL VISTA,Commercial Robbery,1,2012,0
RUNDLE,Commercial Robbery,1,2012,0
RUTLAND PARK,Commercial Robbery,1,2012,0
SADDLE RIDGE,Commercial Robbery,1,2012,0
SADDLE RIDGE INDUSTRIAL,Commercial Robbery,1,2012,1
SAGE HILL,Commercial Robbery,1,2012,0
SANDSTONE VALLEY,Commercial Robbery,1,2012,0
SETON,Commercial Robbery,1,2012,0
SHAWNESSY,Commercial Robbery,1,2012,0
SHEPARD INDUSTRIAL,Commercial Robbery,1,2012,0
SHERWOOD,Commercial Robbery,1,2012,0
SIGNAL HILL,Commercial Robbery,1,2012,2
SILVER SPRINGS,Commercial Robbery,1,2012,1
SILVERADO,Commercial Robbery,1,2012,0
SKYLINE WEST,Commercial Robbery,1,2012,0
SKYVIEW RANCH,Commercial Robbery,1,2012,1
SOMERSET,Commercial Robbery,1,2012,1
SOUTH AIRWAYS,Commercial Robbery,1,2012,2
SOUTH CALGARY,Commercial Robbery,1,2012,3
SOUTH FOOTHILLS,Commercial Robbery,1,2012,1
SOUTHVIEW,Commercial Robbery,1,2012,0
SOUTHWOOD,Commercial Robbery,1,2012,1
SPRINGBANK HILL,Commercial Robbery,1,2012,0
SPRUCE CLIFF,Commercial Robbery,1,2012,0
STRATHCONA PARK,Commercial Robbery,1,2012,0
SUNALTA,Commercial Robbery,1,2012,0
SUNNYSIDE,Commercial Robbery,1,2012,0
SUNRIDGE,Commercial Robbery,1,2012,4
TARADALE,Commercial Robbery,1,2012,0
TEMPLE,Commercial Robbery,1,2012,5
THORNCLIFFE,Commercial Robbery,1,2012,12
TUSCANY,Commercial Robbery,1,2012,0
TUXEDO PARK,Commercial Robbery,1,2012,7
UNIVERSITY HEIGHTS,Commercial Robbery,1,2012,0
VALLEYFIELD,Commercial Robbery,1,2012,0
VARSITY,Commercial Robbery,1,2012,1
VISTA HEIGHTS,Commercial Robbery,1,2012,3
WALDEN,Commercial Robbery,1,2012,0
WEST HILLHURST,Commercial Robbery,1,2012,0
WEST SPRINGS,Commercial Robbery,1,2012,0
WESTGATE,Commercial Robbery,1,2012,0
WESTWINDS,Commercial Robbery,1,2012,1
WHITEHORN,Commercial Robbery,1,2012,1
WILDWOOD,Commercial Robbery,1,2012,0
WILLOW PARK,Commercial Robbery,1,2012,4
WINDSOR PARK,Commercial Robbery,1,2012,0
WINSTON HEIGHTS/MOUNTVIEW,Commercial Robbery,1,2012,6
WOODBINE,Commercial Robbery,1,2012,1
WOODLANDS,Commercial Robbery,1,2012,0
ABBEYDALE,Street Robbery,1,2012,3
ACADIA,Street Robbery,1,2012,6
ALBERT PARK/RADISSON HEIGHTS,Street Robbery,1,2012,6
ALTADORE,Street Robbery,1,2012,1
ALYTH/BONNYBROOK,Street Robbery,1,2012,0
APPLEWOOD PARK,Street Robbery,1,2012,1
ARBOUR LAKE,Street Robbery,1,2012,7
ASPEN WOODS,Street Robbery,1,2012,0
AUBURN BAY,Street Robbery,1,2012,0
BANFF TRAIL,Street Robbery,1,2012,4
BANKVIEW,Street Robbery,1,2012,2
BEDDINGTON HEIGHTS,Street Robbery,1,2012,3
BELTLINE,Street Robbery,1,2012,25
BOWNESS,Street Robbery,1,2012,9
BRAESIDE,Street Robbery,1,2012,3
BRENTWOOD,Street Robbery,1,2012,2
BRIDGELAND/RIVERSIDE,Street Robbery,1,2012,7
BRIDLEWOOD,Street Robbery,1,2012,0
BRITANNIA,Street Robbery,1,2012,0
CALGARY INTERNATIONAL AIRPORT,Street Robbery,1,2012,0
CAMBRIAN HEIGHTS,Street Robbery,1,2012,0
CANADA OLYMPIC PARK,Street Robbery,1,2012,0
CANYON MEADOWS,Street Robbery,1,2012,3
CAPITOL HILL,Street Robbery,1,2012,0
CASTLERIDGE,Street Robbery,1,2012,3
CEDARBRAE,Street Robbery,1,2012,3
CFB - CURRIE,Street Robbery,1,2012,0
CHAPARRAL,Street Robbery,1,2012,1
CHARLESWOOD,Street Robbery,1,2012,0
CHINATOWN,Street Robbery,1,2012,5
CITADEL,Street Robbery,1,2012,1
CLIFF BUNGALOW,Street Robbery,1,2012,1
COACH HILL,Street Robbery,1,2012,2
COLLINGWOOD,Street Robbery,1,2012,2
CORAL SPRINGS,Street Robbery,1,2012,2
COUGAR RIDGE,Street Robbery,1,2012,0
COUNTRY HILLS,Street Robbery,1,2012,0
COUNTRY HILLS VILLAGE,Street Robbery,1,2012,2
COVENTRY HILLS,Street Robbery,1,2012,1
CRANSTON,Street Robbery,1,2012,1
CRESCENT HEIGHTS,Street Robbery,1,2012,4
DALHOUSIE,Street Robbery,1,2012,1
DEER RIDGE,Street Robbery,1,2012,1
DEER RUN,Street Robbery,1,2012,0
DEERFOOT BUSINESS CENTRE,Street Robbery,1,2012,2
DIAMOND COVE,Street Robbery,1,2012,0
DISCOVERY RIDGE,Street Robbery,1,2012,0
DOUGLASDALE/GLEN,Street Robbery,1,2012,0
DOVER,Street Robbery,1,2012,8
DOWNTOWN COMMERCIAL CORE,Street Robbery,1,2012,28
DOWNTOWN EAST VILLAGE,Street Robbery,1,2012,6
DOWNTOWN WEST END,Street Robbery,1,2012,3
EAGLE RIDGE,Street Robbery,1,2012,0
EAST FAIRVIEW INDUSTRIAL,Street Robbery,1,2012,0
EAST SHEPARD INDUSTRIAL,Street Robbery,1,2012,2
EAU CLAIRE,Street Robbery,1,2012,0
EDGEMONT,Street Robbery,1,2012,0
ELBOW PARK,Street Robbery,1,2012,0
ELBOYA,Street Robbery,1,2012,0
ERIN WOODS,Street Robbery,1,2012,4
ERLTON,Street Robbery,1,2012,1
EVANSTON,Street Robbery,1,2012,0
EVERGREEN,Street Robbery,1,2012,0
FAIRVIEW,Street Robbery,1,2012,2
FAIRVIEW INDUSTRIAL,Street Robbery,1,2012,0
FALCONRIDGE,Street Robbery,1,2012,13
FISH CREEK PARK,Street Robbery,1,2012,0
FOOTHILLS,Street Robbery,1,2012,0
FOREST HEIGHTS,Street Robbery,1,2012,6
FOREST LAWN,Street Robbery,1,2012,28
FOREST LAWN INDUSTRIAL,Street Robbery,1,2012,9
FRANKLIN,Street Robbery,1,2012,4
GLAMORGAN,Street Robbery,1,2012,0
GLENBROOK,Street Robbery,1,2012,1
GLENDALE,Street Robbery,1,2012,1
GREAT PLAINS,Street Robbery,1,2012,0
GREENVIEW INDUSTRIAL PARK,Street Robbery,1,2012,0
HARVEST HILLS,Street Robbery,1,2012,3
HAWKWOOD,Street Robbery,1,2012,0
HAYSBORO,Street Robbery,1,2012,4
HIDDEN VALLEY,Street Robbery,1,2012,0
HIGHFIELD,Street Robbery,1,2012,0
HIGHLAND PARK,Street Robbery,1,2012,1
HIGHWOOD,Street Robbery,1,2012,1
HILLHURST,Street Robbery,1,2012,1
HORIZON,Street Robbery,1,2012,1
HOUNSFIELD HEIGHTS/BRIAR HILL,Street Robbery,1,2012,1
HUNTINGTON HILLS,Street Robbery,1,2012,5
INGLEWOOD,Street Robbery,1,2012,0
KELVIN GROVE,Street Robbery,1,2012,0
KILLARNEY/GLENGARRY,Street Robbery,1,2012,1
KINCORA,Street Robbery,1,2012,0
KINGSLAND,Street Robbery,1,2012,0
LAKE BONAVISTA,Street Robbery,1,2012,1
LAKEVIEW,Street Robbery,1,2012,0
LINCOLN PARK,Street Robbery,1,2012,0
LOWER MOUNT ROYAL,Street Robbery,1,2012,1
MACEWAN GLEN,Street Robbery,1,2012,0
MANCHESTER,Street Robbery,1,2012,1
MANCHESTER INDUSTRIAL,Street Robbery,1,2012,11
MARLBOROUGH,Street Robbery,1,2012,20
MARLBOROUGH PARK,Street Robbery,1,2012,9
MARTINDALE,Street Robbery,1,2012,3
MAYLAND,Street Robbery,1,2012,1
MAYLAND HEIGHTS,Street Robbery,1,2012,2
MCCALL,Street Robbery,1,2012,0
